id,name,faction,raw_faction,attack,armor,health,raw_health,cost,raw_type,type,sub_types,card_effect,flavor_text
absolution-sphere,Absolution Sphere,neogenesis-church,Neogenesis Church,,,,,4,Colony-Facility,colony,facility,D: Flip all D who work Absolution Sphere.,"The first thing to enter the sphere was a young girl, gov-drafted, told nothing. Six days later it spat her out, babbling like a newborn."
acid-baptists,Acid Baptists,neogenesis-church,Neogenesis Church,1,1,5,ddddd,3,Unit-Human,unit,human,"During your growth phase, you may flip a D in your colony.","Bathed in a river of memetic nanites, they bring the flock to pasture."
ascetic-virtues,Ascetic Virtues,neogenesis-church,Neogenesis Church,,,,,1,Reflex,reflex,,Discard a card: Flip a D on your Citadel. Anyone may use this ability so long as this Reflex is in play.,Worldly distractions are psychic anchors. -Zen Gospel Scripture
clinical-immortality,Clinical Immortality,neogenesis-church,Neogenesis Church,,,,,4,Augment-Unit,augment,unit,Choose a unit in a scrap and place it in the back of target lane. Attach this card. Add one health from your Citadel. This unit gains Resilient (Restore one health from the Creche during your growth phase.).,Humanity is shed as easily as an old skin.
crechling-prophet,Crechling Prophet,neogenesis-church,Neogenesis Church,0,1,1,t,3,Colony-Facility,colony,facility,"Other units in this lane gain +1 Attack. If this unit is scrapped, you may immediately restore any number of units with citizens from your Citadel.",Her scars are fire in the hearts of the faithful.
desertion,Desertion,neogenesis-church,Neogenesis Church,,,,,2,Reflex,reflex,,Remove 1 health from target unit and place it on its controller’s Citadel.,
deva-monks,Deva Monks,neogenesis-church,Neogenesis Church,0,2,5,ddddd,4,Unit-Human,unit,human,"Each time you score an Echo, you may flip a D on this unit.
This unit has +1 attack for each T on it.",The language of angels can be sharpened.
gravelinks,Gravelinks,neogenesis-church,Neogenesis Church,,,,,2,Augment-Unit,augment,unit,This unit gains +1 Attack for every unit in your scrap.,Memory augs provide immortality in the barracks - long dead soldiers train the living
halo-lift,Halo Lift,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,D: Move target unit you control (may not be used during combat).,"You pray the lift puts you on the ground rightside up, outside-in - altogether the same you were before you got in the damn thing."
holy-day,Holy Day,neogenesis-church,Neogenesis Church,,,,,3,Reflex,reflex,,"Each faction must add a T to Holy Day during their Growth phase. Return a T to their Citadel if they skip their Combat phase. When Holy Day is scrapped, you must skip your combat phase unless you scrap all T on it. ",
house-of-meditation,House of Meditation,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,D: Draw a card (you may exceed 8 cards).,"Mind and matter are one and the same here - we can coax Apsyntion if we listen.
-Chimera Handler Lenaius"
hymn-of-knitting,Hymn of Knitting,neogenesis-church,Neogenesis Church,,,,,2,Augment-Unit,augment,unit,Units adjacent to this one restore one health from the Creche during your   growth phase.,"Zen Gospel clerics form the backbone of nanite-infused troops, their song rippling over the battlefield like a soothing mist."
inquisitors,Inquisitors,neogenesis-church,Neogenesis Church,2,1,3,ttt,3,Unit-Human,unit,human,This unit’s breach value is doubled.,"Brutal? Yes. Necessary? Absolutely. We will not be slaves to artificial masters.
-Order Priest Gruman"
